District,Popular Place,Traffic Level
New Delhi,India Gate,High
New Delhi,Rashtrapati Bhavan,Medium
Central Delhi,Connaught Place,High
Central Delhi,Jama Masjid,High
North Delhi,Delhi University,Medium
North Delhi,Majnu ka Tilla,Low
South Delhi,Qutub Minar,High
South Delhi,Saket Malls,Medium
East Delhi,Akshardham Temple,High
East Delhi,Laxmi Nagar,Medium
West Delhi,Janakpuri District Center,Medium
West Delhi,Punjabi Bagh,Medium
North East Delhi,Yamuna Vihar,High
North East Delhi,Seelampur,High
South West Delhi,Dwarka,Medium
South West Delhi,Chhatarpur Temple,Medium
North West Delhi,Rohini,Medium
North West Delhi,Pitampura,Low
South East Delhi,Lotus Temple,High
South East Delhi,Nehru Place,Medium
Shahdara,Red Fort,High
Shahdara,Shahdara Market,Medium
